project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	328	Sun Mar 04 22:33:43 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	406	Mon Mar 05 19:42:35 MST 2012	jlondon	9	864	jlondon
adobe/brackets	333	Mon Mar 05 19:43:30 MST 2012	jlondon	6	864	jlondon
adobe/brackets	330	Mon Mar 05 19:50:21 MST 2012	jlondon	1	864	jlondon
adobe/brackets	311	Mon Mar 05 19:51:35 MST 2012	jlondon	1	864	jlondon
adobe/brackets	295	Mon Mar 05 19:52:21 MST 2012	jlondon	1	864	jlondon
adobe/brackets	279	Mon Mar 05 20:00:23 MST 2012	jlondon	1	864	jlondon
adobe/brackets	264	Mon Mar 05 20:05:05 MST 2012	jlondon	1	864	jlondon
adobe/brackets	48	Mon Mar 05 20:10:03 MST 2012	jlondon	1	864	joelrbrandt, jlondon
adobe/brackets	394	Mon Mar 05 22:19:43 MST 2012	redmunds	6	864	redmunds
adobe/brackets	376	Wed Mar 07 19:30:30 MST 2012	tvoliter	5	864	tvoliter
adobe/brackets	283	Thu Mar 08 16:45:01 MST 2012	jasonsanjose	6	864	jasonsanjose
adobe/brackets	290	Thu Mar 08 18:49:44 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	252	Thu Mar 08 19:18:18 MST 2012	jasonsanjose	4	864	jasonsanjose
adobe/brackets	211	Thu Mar 08 20:51:09 MST 2012	njx	4	864	gruehle, njx
adobe/brackets	404	Thu Mar 08 23:15:44 MST 2012	peterflynn	2	864	peterflynn
adobe/brackets	283	Fri Mar 09 00:17:00 MST 2012	jasonsanjose	1	864	jasonsanjose, gruehle
adobe/brackets	372	Fri Mar 09 00:19:47 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	412	Fri Mar 09 00:20:03 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	375	Fri Mar 09 04:52:46 MST 2012	jasonsanjose	3	864	jasonsanjose, jlondon
adobe/brackets	374	Fri Mar 09 04:54:39 MST 2012	jlondon	1	864	jlondon
adobe/brackets	362	Fri Mar 09 04:56:04 MST 2012	jlondon	1	864	jlondon
adobe/brackets	348	Fri Mar 09 04:57:03 MST 2012	jlondon	1	864	jlondon
adobe/brackets	346	Fri Mar 09 04:58:13 MST 2012	jlondon	1	864	jlondon
adobe/brackets	342	Fri Mar 09 04:59:46 MST 2012	jlondon	1	864	jlondon
adobe/brackets	337	Fri Mar 09 05:00:38 MST 2012	jlondon	1	864	jlondon
adobe/brackets	325	Fri Mar 09 05:04:57 MST 2012	jlondon	1	864	jlondon
adobe/brackets	303	Fri Mar 09 05:06:59 MST 2012	jlondon	1	864	jlondon
adobe/brackets	302	Fri Mar 09 05:07:45 MST 2012	jlondon	1	864	jlondon
